InventoryID	InventoryType	UpperMaterial	SoleMaterial	StockQuantity	SellingPrice
000000ZP0001	Accessory			103	153.95
010002KD2102	Accessory			436	30.33
010002KD6001	Accessory			861	322.18
010003KD10105	Accessory			271	302.67
010003KD10110	Accessory			107	330.16
010003KD1095	Accessory			72	104.23
010003KD20100	Accessory			701	154.87
010003KD20105	Accessory			21	313.61
010003KD21100	Accessory			615	303.82
010003KD21105	Accessory			122	258.1
010003KD21110	Accessory			467	181.7
010003KD2195	Accessory			215	457.34
010003KD70100	Accessory			331	176.49
010003KD70105	Accessory			459	233.25
010003KD70110	Accessory			88	342.28
010003KD7095	Accessory			373	276.08
010005KD1001	Accessory			100	179.97
010005KD2001	Accessory			872	223.47
010006KD1001	Accessory			664	399.3
010006KD1002	Accessory			131	146.28
010006KD2001	Accessory			662	79.71
010006KD2002	Accessory			309	163.45
010006KD2101	Accessory			770	426.27
010006KD2102	Accessory			344	53.6
010006KD7001	Accessory			492	495.93
010006KD7002	Accessory			414	275.09
010007KD2101	Accessory			806	492.57
010008KD7001	Accessory			386	470.11
010009KD1001	Accessory			192	231.88
010009KD2101	Accessory			956	107.26
010010KD1001	Accessory			277	90.79
010012KD7001	Accessory			161	127.59
010013KD1001	Accessory			460	357.96
010013KD1002	Accessory			314	143.75
010013KD2001	Accessory			22	177.3
010013KD2103	Accessory			253	229.9
010013KD7001	Accessory			748	457.48
010014KD7001	Accessory			857	102.8
010015KD6001	Accessory			561	12.46
010015KD7001	Accessory			475	39.45
010017KD1001	Accessory			59	453.34
010017KD2001	Accessory			511	327.28
010017KD2101	Accessory			682	143.79
010019KD2101	Accessory			476	96.82
010020KD1001	Accessory			700	154.19
010020KD2101	Accessory			976	66.25
010020KD6001	Accessory			783	471.35
010021KD1001	Accessory			190	394.26
010021KD2001	Accessory			958	236.57
010023KD1001	Accessory			687	433.83
010023KD2001	Accessory			958	132.23
010023KD6001	Accessory			563	361.39
010025KD2102	Accessory			876	429.5
010025KD7001	Accessory			567	184.82
010026JT1001	Accessory			244	381.16
010027JT1001	Accessory			832	154.59
010028JT1001	Accessory			505	156.44
010029JT1001	Accessory			131	62.46
010030JT1001	Accessory			485	225.63
010031JT1001	Accessory			819	367.56
010032JT1001	Accessory			647	470.71
010033JT1001	Accessory			21	305.86
010034JT1001	Accessory			841	432.94
010035JT1001	Accessory			167	413.02
010036JT1001	Accessory			274	94.94
010037JT1001	Accessory			388	248.05
010038JT1001	Accessory			601	67.29
010039JT1001	Accessory			316	344.26
010040JT1001	Accessory			14	475.45
