InventoryPurchaseID	SupplierID	DeliveryType	DeliverySupplier	DeliveryStatus	StartTime	EndTime	OrderDate	SignOffStatus	ConfirmStatus	InventoryID	ColorID	Size	Quantity	UnitCost
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	130089ZU0401	FIVE S	365	69	5.89
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	135018DN9040	GREY	42	14	4.05
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	115004BW1043	BLACK	42	30	12.67
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	036002IK2442	BROWN	44	39	9.4
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	032010GZ24390	BROWN	260	57	1.72
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	138004BR1041	BLACK	250	93	9.62
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	011022IJ10385	BLACK	39	80	11.74
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	113014JJ48375	KHAKI	350	75	15.07
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	130046KD2401	BROWN	380	53	16.07
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	011021IJG0390	NUDE 	47	37	19.83
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	218002GH4843	KHAKI	370	62	23.58
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	131008AJ10230	BLACK	41	31	25.54
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	218005CZ2043	BROWN	370	99	40.38
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	234008BB98350	LIGHT BLUE	41	68	42.27
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	017009BR109	BLACK	41	55	43.59
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	114026HE90350	GREY	230	35	76.83
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	010012KD7001	BLUE	360	46	77.59
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	111006CS01370	GOLD	43	67	87.9
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	232019JR60360	RED	350	44	93.06
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	011017AJ90245	GREY	44	66	97.15
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	114029GZ04370	FIVE S	400	64	106.04
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	014008DO10390	BLACK	360	10	114.17
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	014021BJ90400	GREY	340	88	126.22
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	036002IK1041	BLACK	41	16	127.16
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	215006BW7039	BLUE	42	100	128.33
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	117006JS249	BROWN	39	62	129.41
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	138011KR1039	BLACK	40	65	130.77
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	213114KE10380	BLACK	39	9	135.99
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	215018CZ1043	BLACK	1	31	137.59
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	232033GZ20370	BROWN	370	3	145.64
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	018005IB2044	BROWN	46	45	154.33
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	014016AU90390	GREY	360	89	162.06
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	113014JJ10360	BLACK	230	39	162.69
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	014027II10400	BLACK	1	4	164.96
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	216001BW2444	BROWN	42	11	175.66
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	018004BJ1039	BLACK	41	83	178.61
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	014011HK42400	APRICOT	41	47	179.13
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	031016JD10370	BLACK	41	13	186.68
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	231009CU80230	YELLOW	40	60	195.09
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	015013IN1042	BLACK	42	92	199.72
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	132006HN10400	BLACK	41	65	203.63
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	117001HK5040	GREEN	400	45	211.17
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	015006KM6145	CLARET	390	5	213.43
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	138009BW2442	BROWN	45	45	254.69
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	115011CZ1045	BLACK	380	39	268.97
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	011022IJ10350	BLACK	43	49	277.57
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	235013KM248	BROWN	380	63	281.67
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	115014CZ1045	BLACK	350	71	284.32
1	1	Express	FEDEX	Incomplete	4/27/2020	6/11/2020	4/12/2020	Completed	Confirmed	035008KM1045	BLACK	360	69	295.75
