EmployeeID,BranchID,JobTitleID,EffectiveDate
1,1101,Senior Manager,2009-08-04
2,1101,Senior Manager,2014-11-28
3,1101,Junior Manager,2015-11-15
4,1101,Junior Manager,2017-03-03
5,1101,Sales Person,2014-11-04
6,1002,Sales Person,2016-02-10
7,1105,Sales Person,2017-11-07
8,6101,Sales Person,2017-07-21
9,6103,Sales Person,2011-06-25
10,1105,Sales Person,2008-02-24
11,6101,Sales Person,2015-10-21
12,6103,Sales Person,2018-06-14
13,6105,Sales Person,2008-01-02
14,6108,Sales Person,2019-03-30
15,6302,Sales Person,2006-11-18
16,6303,Sales Person,2010-12-14
17,6501,Sales Person,2014-04-26
18,6502,Sales Person,2018-01-22
19,6602,Sales Person,2009-07-16
20,6603,Sales Person,2011-08-31
21,6801,Sales Person,2020-01-11
22,6801,Sales Person,2016-03-29
23,6802,Sales Person,2018-12-25
24,6802,Sales Person,2014-07-30
25,6803,Sales Person,2014-12-07
26,6803,Sales Person,2008-05-06
27,7101,Sales Person,2007-05-21
28,7101,Sales Person,2013-07-27
29,9002,Sales Person,2014-11-12
30,9502,Sales Person,2009-04-17
