OrderID,OrderDate1,OrderTime,OrderDate,BranchID,InvoiceID,InvoiceDate,MembershipType,MembershipLevel,CustomerID,DeliveryTypeID,DeliverySupplierID,DeliveryStatusID,StartTime,EndTime,AddressID,EmployeeID,ColorID,SizeID,InventoryID,UnitPrice,Quantity,Tax,PromotionID,PaymentMethodID,ConfirmedStatusID
140,5/3/2021,18:37:10,5/3/2021 18:37,6802,,5/7/2021,,,,,,,,,,24,70,350,114008JR70350,123.96,-1,-6.198,,Cash,1
140,5/3/2021,18:37:10,1/2/2022 19:48,6802,,5/4/2021,,,,,,,,,,24,10,345,014008DO10345,488.97,1,24.448500000000003,,Cash,1
144,5/7/2021,11:52:43,5/7/2021 11:52,6802,,5/10/2021,,,,,,,,,,24,94,360,014020BJ94360,295.73,-1,-14.7865,,Cash,1
144,5/7/2021,11:52:43,1/10/2022 16:45,6802,,5/11/2021,,,,,,,,,,24,94,350,014020BJ94350,255.98,1,12.799,,Cash,1
200,8/21/2021,15:59:38,8/21/2021 15:59,6802,,8/25/2021,,,,,,,,,,24,07,390,114007JR07390,318.9,1,15.945,,Cash,1
200,8/21/2021,15:59:38,6/4/2022 19:30,6802,,8/26/2021,,,,,,,,,,24,07,400,114007JR07400,153.53,-1,-7.6765,,Cash,1
312,11/15/2021,19:24:43,7/3/2020 21:34,6802,,11/16/2021,,,,,,,,,,24,70,360,134002JR70360,161.74,-1,-8.087,,Cash,1
348,12/9/2021,21:32:00,12/9/2021 21:32,6802,,12/9/2021,,,,,,,,,,24,10,360,131015BB10360,42.67,-1,-2.1335,,Cash,1
348,12/9/2021,21:32:00,12/2/2021 15:00,6802,,12/11/2021,,,,,,,,,,24,10,370,131015BB10370,416.54,1,20.827,,Cash,1
414,1/14/2022,17:33:23,1/14/2022 17:33,6802,,1/19/2022,,,,,,,,,,24,07,370,131015BB07370,255.11,-1,-12.7555,,Cash,1
414,1/14/2022,17:33:23,5/22/2020 20:08,6802,,1/18/2022,,,,,,,,,,24,07,380,131015BB07380,88.7,1,4.4350000000000005,,Cash,1
516,3/25/2022,15:21:55,3/25/2022 15:21,6802,,3/26/2022,NewMember,,,,,,,,,24,10,41,138004BR1041,59.62,-1,-2.981,,Cash,1
516,3/25/2022,15:21:55,5/23/2021 19:48,6802,,3/28/2022,NewMember,,,,,,,,,24,10,42,138004BR1042,437.56,1,21.878,,Cash,1
586,6/11/2022,18:23:37,6/11/2022 18:23,6802,,6/16/2022,,,,,,,,,,24,20,46,215026CZ2046,163.12,-1,-8.156,,Cash,1
586,6/11/2022,18:23:37,11/18/2021 18:52,6802,,6/13/2022,,,,,,,,,,24,24,45,115003BW2445,461.8,1,23.090000000000003,,Cash,1
604,7/2/2022,20:12:05,12/12/2021 19:18,6802,,7/6/2022,,,,,,,,,,24,10,44,135005CZ1044,480.76,1,24.038,,Cash,1
605,7/3/2022,14:50:23,12/12/2021 18:09,6802,,7/5/2022,,,,,,,,,,24,10,42,138001DN1042,346.81,1,17.340500000000002,,Cash,1
606,7/3/2022,18:03:50,12/14/2021 14:26,6802,,7/5/2022,,,,,,,,,,24,10,44,138012CZ1044,235.15,1,11.7575,,Cash,1
