EmployeeID	GradeName	MinSalary	MaxSalary	HourlyRate	EffectiveDate
1	Top	100000	150000	72	2009-08-04
2	Top	100000	150000	50	2014-11-28
3	Advance	60000	90000	43	2015-11-15
4	Advance	60000	90000	37	2017-03-03
5	Basic	30000	50000	20	2014-11-04
6	Basic	30000	50000	16	2016-02-10
7	Basic	30000	50000	21	2017-11-07
8	Basic	30000	50000	20	2017-07-21
9	Basic	30000	50000	23	2011-06-25
10	Basic	30000	50000	20	2008-02-24
11	Basic	30000	50000	16	2015-10-21
12	Basic	30000	50000	20	2018-06-14
13	Basic	30000	50000	15	2008-01-02
14	Basic	30000	50000	21	2019-03-30
15	Basic	30000	50000	19	2006-11-18
16	Basic	30000	50000	23	2010-12-14
17	Basic	30000	50000	15	2014-04-26
18	Basic	30000	50000	19	2018-01-22
19	Basic	30000	50000	15	2009-07-16
20	Basic	30000	50000	18	2011-08-31
21	Basic	30000	50000	17	2020-01-11
22	Basic	30000	50000	24	2016-03-29
23	Basic	30000	50000	20	2018-12-25
24	Basic	30000	50000	22	2014-07-30
25	Basic	30000	50000	22	2014-12-07
26	Basic	30000	50000	19	2008-05-06
27	Basic	30000	50000	24	2007-05-21
28	Basic	30000	50000	19	2013-07-27
29	Basic	30000	50000	19	2014-11-12
30	Basic	30000	50000	16	2009-04-17
1	Basic	30000	50000	23	2009-08-04
3	Basic	30000	50000	24	2015-11-15
5	Basic	30000	50000	18	2014-11-04
7	Basic	30000	50000	22	2017-11-07
9	Basic	30000	50000	21	2011-06-25
11	Basic	30000	50000	18	2015-10-21
13	Basic	30000	50000	21	2008-01-02
15	Basic	30000	50000	20	2006-11-18
21	Basic	30000	50000	22	2020-01-11
27	Basic	30000	50000	22	2007-05-21
29	Basic	30000	50000	24	2014-11-12
