CustomerID,ValidStatus,MembershipLevel,EffectiveDate
5,1,Bronze,4/18/2021
25,1,Bronze,8/12/2020
26,1,Bronze,12/6/2018
29,1,Bronze,6/28/2021
36,1,Bronze,2/25/2017
40,1,Bronze,1/6/2021
41,1,Bronze,7/28/2019
48,1,Bronze,4/29/2020
55,1,Bronze,9/14/2020
59,1,Bronze,10/22/2019
61,1,Bronze,6/10/2016
64,1,Bronze,1/30/2017
67,1,Bronze,9/18/2018
71,1,Bronze,8/26/2022
76,1,Bronze,9/8/2019
77,1,Bronze,11/4/2016
79,1,Bronze,10/21/2021
81,1,Bronze,8/29/2018
82,1,Bronze,3/3/2019
87,1,Bronze,4/15/2022
88,1,Bronze,2/23/2021
90,1,Bronze,9/13/2022
91,1,Bronze,2/20/2019
92,1,Bronze,1/14/2020
97,1,Bronze,4/19/2022
99,1,Bronze,6/26/2017
100,1,Bronze,7/17/2017
101,1,Bronze,10/26/2016
102,1,Bronze,11/18/2021
105,1,Bronze,11/9/2017
106,1,Bronze,2/11/2020
107,1,Bronze,12/30/2020
108,1,Bronze,8/19/2019
109,1,Bronze,6/23/2016
111,1,Bronze,3/6/2021
113,1,Bronze,10/4/2017
114,1,Bronze,10/4/2017
116,1,Bronze,12/21/2019
117,1,Bronze,7/5/2022
118,1,Bronze,10/18/2019
119,1,Bronze,9/30/2019
120,1,Bronze,8/15/2019
121,1,Bronze,7/15/2018
122,1,Bronze,3/9/2017
123,1,Bronze,1/13/2017
124,1,Bronze,10/20/2019
125,1,Bronze,4/14/2021
127,1,Bronze,6/10/2018
128,1,Bronze,10/10/2018
129,1,Bronze,8/19/2019
131,1,Bronze,10/15/2021
132,1,Bronze,4/18/2020
133,1,Bronze,9/10/2017
134,1,Bronze,7/26/2019
136,1,Bronze,7/10/2019
137,1,Bronze,5/9/2022
139,1,Bronze,10/10/2016
140,1,Bronze,4/25/2016
141,1,Bronze,7/14/2019
142,1,Bronze,12/7/2019
143,1,Bronze,5/17/2022
144,1,Bronze,4/5/2020
145,1,Bronze,5/13/2020
147,1,Bronze,10/10/2022
148,1,Bronze,1/30/2022
150,1,Bronze,3/19/2022
151,1,Bronze,10/21/2019
152,1,Bronze,11/6/2018
153,1,Bronze,8/14/2016
155,1,Bronze,1/30/2016
156,1,Bronze,2/5/2018
157,1,Bronze,12/23/2016
158,1,Bronze,10/2/2019
159,1,Bronze,12/30/2019
160,1,Bronze,12/16/2019
161,1,Bronze,9/29/2022
166,1,Bronze,4/27/2020
167,1,Bronze,6/6/2017
168,1,Bronze,12/2/2017
169,1,Bronze,6/2/2020
171,1,Bronze,6/16/2020
172,1,Bronze,4/28/2017
174,1,Bronze,10/31/2018
176,1,Bronze,7/9/2021
178,1,Bronze,9/22/2022
179,1,Bronze,5/28/2022
180,1,Bronze,6/8/2021
184,1,Bronze,7/24/2018
185,1,Bronze,8/22/2022
186,1,Bronze,11/10/2016
187,1,Bronze,4/7/2021
188,1,Bronze,9/22/2020
189,1,Bronze,3/22/2016
190,1,Bronze,7/19/2022
191,1,Bronze,5/3/2019
192,1,Bronze,1/14/2017
193,1,Bronze,8/16/2022
194,1,Bronze,5/7/2016
196,1,Bronze,7/11/2021
197,1,Bronze,4/25/2018
198,1,Bronze,9/17/2020
200,1,Bronze,2/13/2019
204,1,Bronze,5/17/2022
205,1,Bronze,5/28/2019
207,1,Bronze,11/4/2019
208,1,Bronze,1/14/2020
210,1,Bronze,1/22/2020
212,1,Bronze,4/22/2021
213,1,Bronze,2/9/2022
214,1,Bronze,10/20/2018
215,1,Bronze,11/13/2020
216,1,Bronze,5/9/2021
218,1,Bronze,11/25/2017
219,1,Bronze,2/6/2022
221,1,Bronze,9/25/2017
222,1,Bronze,8/9/2018
223,1,Bronze,7/8/2022
224,1,Bronze,4/28/2021
228,1,Bronze,12/11/2018
229,1,Bronze,8/16/2018
